,Strategy,Dataset,n_instances,l_attributes,k_neighbours,fit_time,accuracy,f1_macro,f1_micro
0,Randomised search,D0,32561,110,140,4.071431239446004,0.5029636681920089,0.36596825632994856,0.5029636681920089
1,Randomised search,D0,32561,110,15,5.974363883336385,0.49832621848223335,0.36177066156806587,0.49832621848223335
2,Randomised search,D0,32561,110,17,4.640477418899536,0.4984183532446792,0.36186337419767267,0.4984183532446792
3,Randomised search,D0,32561,110,10,3.07952348391215,0.4981112373698596,0.36153996767938973,0.4981112373698596
4,Randomised search,D0,32561,110,98,3.476240873336792,0.5018887626301404,0.3653522474044006,0.5018887626301404
5,Randomised search,D0,32561,110,71,2.7733739217122397,0.5007524338933079,0.364378474041811,0.5007524338933079
6,Randomised search,D0,32561,110,62,5.501293897628784,0.5002917600810786,0.3638751860937343,0.5002917600810786
7,Randomised search,D0,32561,110,87,3.249640146891276,0.5008138570682719,0.3643275854238344,0.5008138570682719
8,Randomised search,D0,32561,110,123,3.02437416712443,0.5022265900924419,0.3654793584051868,0.5022265900924419
9,Randomised search,D0,32561,110,116,2.613616148630778,0.5022265900924419,0.36545605045633556,0.5022265900924419
10,Randomised search,D0,32561,110,82,2.752253452936808,0.5009059918307177,0.3644831813114509,0.5009059918307177
11,Randomised search,D0,32561,110,8,2.524461110432943,0.4980805257823777,0.36155587146162993,0.4980805257823777
12,Randomised search,D0,32561,110,147,2.993626832962036,0.5030865145419366,0.36602586147323196,0.5030865145419366
13,Randomised search,D0,32561,110,76,3.401376485824585,0.5009367034181997,0.36454662280369476,0.5009367034181997
14,Randomised search,D0,32561,110,122,2.835204521814982,0.5022880132674058,0.3655286286375585,0.5022880132674058
15,Randomised search,D0,32561,110,156,3.4023588498433432,0.5884033045668131,0.3553528200401271,0.5884033045668131
16,Randomised search,D0,32561,110,2,3.3152506351470947,0.49804981419489575,0.36151064060352184,0.49804981419489575
17,Randomised search,D0,32561,110,89,2.4622131983439126,0.5008445686557538,0.36433255745085386,0.5008445686557538
18,Randomised search,D0,32561,110,172,3.0183592637379966,0.7591904425539756,0.4315567114498748,0.7591904425539756
19,Randomised search,D0,32561,110,107,2.6492701371510825,0.5018580510426583,0.3651897646735089,0.5018580510426583
20,Randomised search,D0,32561,110,127,2.62030029296875,0.5024108596173337,0.3655444969334355,0.5024108596173337
21,Randomised search,D0,32561,110,174,2.8455659548441568,0.7591904425539756,0.4315567114498748,0.7591904425539756
22,Randomised search,D0,32561,110,84,3.245628595352173,0.5009367034181997,0.364488159221492,0.5009367034181997
23,Randomised search,D0,32561,110,91,2.4358096917470298,0.5008752802432358,0.3643960617404987,0.5008752802432358
24,Randomised search,D0,32561,110,136,2.516691207885742,0.5028101102545991,0.36585056973220226,0.5028101102545991
0,Randomised search,D1,625,6,6,0.0026738643646240234,0.344,0.17679871264641658,0.344
1,Randomised search,D1,625,6,4,0.0030075709025065103,0.3392,0.17278028664008296,0.3392
2,Randomised search,D1,625,6,23,0.0033425490061442056,0.3632,0.1790296046159117,0.3632
3,Randomised search,D1,625,6,16,0.0020051002502441406,0.3664,0.18238520715204676,0.3664
4,Randomised search,D1,625,6,3,0.0023392836252848306,0.3344,0.1666024896359268,0.3344
5,Randomised search,D1,625,6,2,0.0023391246795654297,0.336,0.18041314889896334,0.336
6,Randomised search,D1,625,6,9,0.0030080477396647134,0.3648,0.18632106321916056,0.3648
7,Randomised search,D1,625,6,6,0.002672910690307617,0.344,0.17679871264641658,0.344
8,Randomised search,D1,625,6,12,0.002339442571004232,0.3664,0.18593582391972105,0.3664
